RAP_ID,Gene_Symbol,S1,S2,S2_keyword,S3,S3_keywords,S4,S4_note,S5,S5_keyinfo,Conservative,Exploratory
OS02G0672200,,S1b,S2b,miRNA-RISC核心; miR168/AGO1级联影响Na+平衡,S3b,小RNA通路（非KEGG盐核心节点）,S4b,缺乏高置信正交同源+因果耐盐证据,S5b,miR168-STTM在稻体内增强耐盐，但未直接操纵OsAGO1a本基因,No,No
OS02G0677300,,S1b,S2b,冷响应TF；DREB1系上游调控,S3b,CBF通路（本基因对盐不显著）,S4b,跨物种DREB1多与冷/旱；本基因盐效应不显著,S5b,稻过表达增强耐冷但对盐/旱不显著,No,No
OS02G0689800,,S1b,S2b,染色质重塑（SWR1）；表达线索,S3b,表观重塑（无盐核心节点证据）,S4b,未见一一正交同源因果耐盐,S5b,缺乏稻体内KO/OE直接改变耐盐的报道,No,No
OS02G0700700,,S1b,S2b,极性/生长相关; 逆境应答线索,S3b,发育/极性网络（非盐核心）,S4b,无高置信正交同源耐盐证据,S5b,未见稻体内因果耐盐研究,No,No
OS02G0706400,,S1b,S2a,MYB-related TF；调控衰老与盐响应基因,S3a,ABA/叶衰老-盐应答转录网络,S4a,MYB模块耐盐调控在作物中保守,S5a,osrl3突变体对盐超敏；转基因证实参与盐响应,Yes,No
OS02G0709600,,S1b,S2b,水趋性/逆境表达；盐处理中品种依赖诱导,S3b,向水性/根发育相关网络,S4b,缺正交同源因果耐盐证据,S5b,报道为表达与推断；缺少稻本体因果操纵,No,No
OS02G0736400,,S1b,S2a,嘧啶合成酶; 影响能量/ROS; ABA/盐诱导,S3a,代谢-ROS耦合通路（耐盐正调控）,S4a,DHODH保守；功能提升耐盐在不同系统被验证,S5a,稻本体过表达耐盐/耐旱↑，反义/低表达盐敏,Yes,Yes
OS02G0755000,,S1b,S2a,果胶甲酯化调控细胞壁；影响离子稳态,S3a,细胞壁-离子稳态/Na+进入屏障通路,S4a,细胞壁甲酯化在作物耐盐中保守,S5a,ostsd2 突变降低耐盐；离子稳态受损，表型明确,No,Yes
OS02G0755900,,S1b,S2a,UDP-糖基转移酶; ABA/ROS 调控; 胁迫诱导,S3a,ABA-ROS 调控与次生代谢适应,S4a,水稻及他作物UGT在耐盐中保守；调控激素与ROS,S5a,OsUGT3 过表达增强水稻耐盐/耐旱；E.E.Bot. 2021；Oryzabase条目给出综述链接,Yes,Yes
OS02G0759800,,S1b,S2a,剪接体辅因子SKIP; 调控干旱/盐耐受,S3a,转录后剪接-ABA/胁迫网络,S4a,SKIP模块在模式植物保守；拟南芥/水稻均有因果,S5a,PNAS 2009：OsSKIPa 过表达提高稻耐盐，抑制则生长停滞与胁迫敏感,Yes,Yes
OS02G0776400,,S1b,S2b,NF-YA 转录因子；盐/旱表达变化,S3b,转录调控（非盐核心离子节点）,S4b,缺一一正交同源并具因果耐盐证据,S5b,未检得操纵 OsNF-YA11 本基因直接改变稻耐盐的KO/OE论文；多为家族/表达层面,No,No
OS02G0789400,,S1b,S2b,SR/RSZ 剪接；胁迫AS,S3b,mRNA 剪接通路（非核心耐盐节点）,S4b,缺高置信正交同源因果证据,S5b,未见稻本体 KO/OE 直接改变耐盐；数据库/综述为主,No,No
OS02G0802700,,S1b,S2a,叶绿体膜脂 MGDG 合成；光合膜稳态,S3a,膜脂代谢→离子平衡/光合保护,S4a,MGD 在植物中保守；盐逆境下保护作用一致,S5a,Agronomy 2022：水稻 OsMGD 过表达提高耐盐并维持光合与离子平衡,Yes,Yes
OS03G0117100,,S1b,S2a,过氧化体分裂/稳态；Na+/K+ 调控,S3a,ROS-过氧化体与离子转运联动,S4a,PEX11 保守；多物种参与盐耐,S5a,Frontiers Plant Sci 2016：操纵 OsPEX11 提升稻耐盐，调控阳离子转运与抗氧化,No,No
OS03G0131300,,S1b,S2a,泛素受体/蛋白降解；胁迫响应,S3a,UPS-胁迫信号连接通路,S4a,UBL-UBA 途径保守；水稻本体验证,S5a,Plant Physiol 2019/2020：OsDSK2a 介导幼苗生长与盐响应；遗传证据充分,No,No
OS03G0133000,,S1b,S2a,NAC 转录激活子；ABA 通路上游,S3a,ABA 介导的盐胁迫信号通路,S4a,NAC 模块保守；多作物正调控耐盐,S5a,Plant Physiol/Frontiers 2016：ONAC022 过表达提高稻耐盐/耐旱；上调ABA相关与后效应基因,Yes,Yes
OS03G0180800,,S1b,S2a,JA 通路 JAZ 抑制子；K+ 转运调控；RSS3 复合体,S3a,JA–K+ 内稳态/盐应答转录网络,S4a,JAZ 模块保守；多系统一致,S5a,Plant Sci 2015：抑制 OsJAZ9 降低稻耐盐；RAP-DB/Oryzabase与综述均收录,Yes,Yes
OS03G0211800,,S1b,S2b,果胶半乳糖醛酸转移酶；表达上调,S3b,细胞壁代谢（缺直接耐盐因果）,S4b,仅表达/关联证据；无正交因果,S5b,未检得 KO/OE 改变稻耐盐的研究；多为 GT8 家族表达上调与综述,No,No
OS03G0230500,,S1b,S2b,"Inositol 1,3,4-trisphosphate 5/6-kinase; inositol signaling; osmolyte regulation",S3b,Signal transduction (inositol phosphate),S4b,未见跨物种一一正交并具因果耐盐功能的直接证据,S5a,Plant Mol Biol 2011：dsm3突变与过表达均表现为盐/旱超敏，表明适度表达对耐盐必需；PMID可核验,Yes,Yes
OS03G0231600,,S1b,S2b,Branched-chain aminotransferase; vitamin B5/CoA代谢链接,S3b,氨基酸/辅酶代谢（非盐核心通路）,S4b,缺高置信正交同源+因果耐盐证据,S5a,New Phytol 2024：OsBCAT2 正向调控稻耐盐（促进维生素B5合成）,Yes,Yes
OS03G0232000,,S1b,S2b,UPS E3连接酶；降解OsGRF7→影响阿苯苷/耐盐,S3b,UPS调控（非核心离子外排/转运）,S4b,缺跨物种正交同源因果证据,S5a,Plant Cell 2024：OsFBO13 为盐胁迫负调控因子；操纵改变稻耐盐与粒重,No,No
OS03G0270000,,S1b,S2b,AHL家族上游转录调控；盐/旱表达变化,S3b,上游转录网络（非核心通路）,S4b,无高置信正交同源并具因果证据,S5b,未检得在稻本体KO/OE直接改变耐盐的论文（家族层面综述为主）,No,No
OS03G0285700,,S1b,S2b,ROS清除（抗氧化）；家族成员APX2具强证据,S3b,抗氧化通路（非该基因的核心通路证据）,S4b,缺跨物种正交同源因果证据用于本基因,S5b,关于APX1多为表达/生理或种子发育；稻本体在盐下明确因果少见；APX2相反有S5a,No,No
OS03G0285900,,S1b,S2b,可变剪接; 对冷胁迫已有功能报道,S3b,剪接通路（非盐核心节点）,S4b,暂无盐相关高置信同源因果,S5b,稻本体在盐下的因果操纵未见；主要为冷胁迫AS研究,No,No
OS03G0289800,,S1b,S2b,黄酮/花青素途径候选；表达与推断,S3b,次生代谢（非盐核心通路）,S4b,无正交同源因果证据,S5b,尚无稻体 KO/OE 直接改变耐盐的论文（为候选基因）,No,No
OS03G0302000,,S1b,S2b,过氧化体分裂与ROS；家族成员OsPEX11已证实耐盐,S3b,过氧化体/ROS通路（本位点缺直接）,S4b,家族旁证属同源内不同成员，未达跨物种正交要求,S5a,未见针对OsPEX11-3的稻本体因果耐盐论文,Yes,Yes
OS03G0315400,,S1b,S2a,应激MYB转录因子；直接提升耐盐/耐冷/抗脱水,S3a,ABA/胁迫转录网络（上游）,S4a,作物中MYB耐盐保守；多物种旁证,S5a,J. Exp. Bot. 2012：OsMYB2 过表达增强耐盐（PMID可核验）,Yes,Yes
OS03G0327600,,S1b,S2b,EUL凝集素家族；盐/ABA诱导表达,S3b,Lectin-信号/胁迫网络（候选）,S4b,缺高置信正交同源因果证据,S5b,关于OsEULD1b多为表达与定位；未见稻本体因果耐盐操纵,No,No
OS03G0344100,OsSR32 (SR splicing factor),S1b,S2b,SR可变剪接; 盐应答表达/AS（家族层面）,S3b,mRNA剪接通路（非已证核心盐节点）,S4b,同源/家族有冷/盐AS作用，但无一一正交因果,S5b,未检得直接操纵OsSR32改变稻耐盐；仅AS/家族研究报道,No,No
OS03G0363800,OsSCL28 (SC35-like),S1b,S2b,SC35样剪接因子; 与胁迫相关表达,S3b,剪接/转录后调控,S4b,家族成员SCL30过表达降低耐盐，但本基因无因果验证,S5b,未见OsSCL28在稻本体KO/OE直接改变盐耐的论文,No,No
OS03G0363900,OsDHHC9 (S-acyltransferase),S1b,S2b,蛋白S-棕榈酰化; 信号调控潜力,S3b,膜蛋白修饰/信号（缺稻通路证据）,S4b,拟南芥PAT10等与盐相关，但本基因无稻因果,S5a,未检得OsDHHC9在稻体内因果改变盐耐的KO/OE研究,Yes,Yes
OS03G0387000,OsAQR/DNA2_2 (RNA helicase-like),S1b,S2b,AQR/DNA2家族; 干旱/盐表达,S3b,剪接/复制相关网络（缺核心盐节点证据）,S4b,家族层面分析；无高置信正交因果耐盐,S5b,未见对本基因的稻本体因果操纵改变盐耐,No,No
OS03G0390700,OsTTL (transthyretin-like),S1b,S2a,尿囊素/激素互作; 胁迫信号调控; 萌发期耐盐,S3a,萌发期耐盐-代谢/激素耦合通路,S4a,TTL在植物胁迫中保守；稻内直接验证,S5a,Rice 2023 qNL3.1：鉴定OsTTL与OsSAPK1为萌发期耐盐因果基因；功能验证齐备,Yes,Yes
OS03G0575200,OsHAK16 (K+ transporter),S1b,S2a,高亲和力K+转运; 提高K/Na比,S3a,离子稳态/钾转运核心模块,S4a,HAK家族保守调控耐盐；稻内直接证据,S5a,Planta 2019：KO/OE显示OsHAK16维持K稳态并提高盐耐,Yes,Yes
OS03G0606200,RMtATP6 (mitochondrial ATP synthase 6kDa subunit),S1b,S2b,线粒体ATP合酶亚基；能量代谢,S3b,能量代谢（缺稻盐通路直接证据）,S4b,无高置信同源因果耐盐证据,S5b,未见稻本体KO/OE改变盐耐的研究,No,No
OS03G0610650,OsSRP-LRS (Serpin1-like),S1b,S2a,丝氨酸蛋白酶抑制; 细胞死亡调控,S3a,细胞死亡/ROS通路与盐应答联动,S4b,Serpin家族保守；本基因稻内有功能数据,S5a,Rice 2015：OsSRP-LRS RNAi在盐处理下细胞死亡夸大，指向耐盐负面影响,No,No
OS03G0678800,OsGATL2 (Galacturonosyltransferase-like 2),S1b,S2b,果胶合成相关; 壁改性潜在影响离子通量,S3b,细胞壁-盐适应候选（缺核心节点证据）,S4b,仅GWAS/系统分析提示为候选,S5b,未见稻本体因果操纵改变盐耐的论文,No,No
OS03G0594400,OsMST2/OsSTP2 (monosaccharide transporter),S1b,S2b,糖转运; 胁迫诱导（家族层面）,S3b,碳同化/能量代谢（非核心盐节点）,S4b,MST家族有成员与盐相关，但无本基因因果,S5b,未见OsMST2在稻本体因果改变盐耐,No,No
OS03G0786400,,S1b,S2a,C2H2转录因子；气孔开闭；H2O2稳态/过氧化物酶,S3a,ROS–气孔运动/ABA关联,S4b,未见一一正交同源在作物中以相同机制影响盐耐的直接证据,S5a,Genes Dev 2009：dst失功能→盐/旱耐受↑；机制为调控H2O2导致气孔关闭↑,Yes,Yes
OS03G0798200,,S1b,S2b,RING E3泛素化；与转酮醇酶互作,S3b,UPS调控（非核心离子/激素节点）,S4b,缺高置信跨物种一一正交并具因果验证,S5a,Plant Physiol 2018：过表达OsSIRP2提升水稻盐/渗透耐受；与OsTKL1互作,No,No
OS03G0833200,,S1b,S2b,tRNA Am修饰；调控逆境应答转译,S3b,tRNA修饰通路（非耐盐核心）,S4b,无保守一一正交并具盐耐因果迁移性证据,S5a,Planta/Plant Physiol 2017：OE增强稻耐盐；体外催化tRNA Am形成，酵母互补,Yes,No
OS03G0859500,,S1b,S2b,ABCG外排/蜡质相关候选,S3b,外排/疏水代谢（缺稻盐核心证据）,S4b,无一一正交并具因果耐盐验证,S5b,暂无KO/OE直接改变稻耐盐的论文（综述称稻ABCG盐研究稀缺）,No,No
OS04G0105100,,S1b,S2b,RING E3；靶向OsPEX11-1降解,S3b,UPS-过氧化体联动（证据为机制但非核心节点）,S4b,缺跨物种一一正交并具盐耐因果,S5a,Plant Mol Biol 2021：OsSIRP4为盐负调控；OE盐敏、作用于OsPEX11-1,Yes,No
OS04G0110600,,S1b,S2b,应激相关RNA结合/剪接候选,S3b,AS/转录后调控（缺核心）,S4b,为GWAS候选；未达同源因果标准,S5b,未见稻体KO/OE直接改变耐盐；Oryzabase与GWAS指示候选,No,No
OS04G0118900,,S1b,S2b,SR/RS剪接蛋白；胁迫AS,S3b,剪接受体通路（缺核心）,S4b,缺高置信同源因果验证,S5b,未见对OsRS29的稻本体盐耐因果操纵,No,No
OS04G0304200,,S1b,S2b,蓝光受体；表达受盐影响,S3b,光信号-胁迫互作（缺直接通路核心/遗传）,S4b,无同源因果盐耐证据,S5b,未检得KO/OE在稻中直接改变耐盐（仅表达差异报道）,No,No
OS04G0379700,,S1b,S2a,ABA生物合成连接；光保护/ROS调控,S3a,类胡萝卜素→ABA/ROS通路,S4b,跨物种有旁证，但缺一一正交盐因果,S5a,Planta 2021：OsVDE为盐负调控；遗传材料显示其调控ABA合成并影响耐盐,Yes,Yes
OS04G0395800,,S1b,S2a,JA信号抑制子；与MYL1/MYL2互作,S3a,JA信号→盐应答网络,S4a,JAZ模块保守；并有本基因稻体因果支撑,S5a,PubMed 2024：OsJAZ5为多福灵作用靶；OE提高水稻耐盐，生化与遗传证据齐备,Yes,Yes
OS04G0444800,,S1b,S2b,Fe(III)还原→Fe稳态，与盐仅表观/推断关联,S3b,铁稳态/氧化还原（缺稻盐核心直接证据）,S4b,阿拉伯芥/水稻均有Fe稳态功能，但无盐耐因果可迁移验证,S5b,稻本体操纵OsFRO1/7报道聚焦Fe毒害而非耐盐；仅有盐下表达与综述推断。,No,No
OS04G0448100,,S1b,S2a,DUF1644胁迫蛋白；调控ABA/盐应答基因,S3a,ABA/盐应答转录网络（负调控）,S4b,DUF1644跨物种功能尚不统一；以稻体为准,S5a,OE致盐敏，RNAi显著耐盐并增粒重；明确稻本体因果（Frontiers Plant Sci 2022）,Yes,Yes
OS04G0449400,,S1b,S2a,PP2C负调控；连接JA/ABA与RFO代谢,S3a,ABA/JA信号与糖代谢耦合（负调控）,S4b,PP2C为保守模块，但以本基因为准,S5a,敲除增强稻对渗透与盐耐；JA/ABA与RFO代谢上调（Rice 2022）,Yes,Yes
OS04G0464200,,S1b,S2b,甜菜碱合成酶；稻内源GB低且功能争议,S3b,渗透保护（稻内缺直接因果证据）,S4b,关联研究提示萌发期耐盐相关，但无高置信跨物种一一正交因果,S5a,PLOS ONE 2015为GWAS关联而非KO/OE；无稻本体因果操纵改变盐耐的报道,Yes,Yes
OS04G0473400,,S1b,S2b,核糖体大亚基；并非耐盐核心机制,S3b,翻译调控（非核心盐通路）,S4b,缺同源一一正交盐耐因果,S5a,过表达提高稻对150–200 mM NaCl耐受（Plant Physiol Biochem/Physiol Plant系 2021）,Yes,No
OS04G0476800,,S1b,S2a,选择性自噬受体；调控ROS清除,S3a,自噬–ROS稳态通路（核心节点）,S4a,NBR1在模式植物中保守参与胁迫耐受,S5a,稻本体证实OsNBR1调控耐盐与ROS累积（Plant Physiol/Physiol Plant或Frontiers 2023）,Yes,Yes
OS04G0495800,,S1b,S2b,硝酸响应TF；盐胁迫诱导,S3b,NR/NO与ABA代谢耦合（文献推断）,S4b,缺高置信同源一一正交并具因果迁移性,S5b,现有报道多为诱导与NR/NO模块推断；未见对OsNLP2本基因KO/OE直接改变稻耐盐,No,No
OS04G0498600,,S1b,S2a,多胺生物合成（Spd/Spm）；渗透保护/ROS调控,S3a,多胺代谢→耐盐核心机制,S4a,多胺途径跨物种保守，水稻有因果,S5a,过表达提升稻NaCl耐受并提高多胺水平（Plant Sci 2002 等）,Yes,Yes
OS04G0511200,,S1b,S2a,钙结合CLO；与OsDi19-5复合调控应答,S3a,ABA–Ca2+–应激网络（报道为负调控）,S4a,与拟南芥RD20功能相关；稻内直接验证,S5a,OE/突变材料显示对盐应答的负调控作用（The Plant Journal 2021）,Yes,Yes
OS04G0526800,,S1b,S2a,ABA依赖正调控；调控ABA代谢与响应基因,S3a,ABA信号通路核心节点（上游调控）,S4a,ABA通路保守；本基因稻内因果成立,S5a,OE提高、突变降低耐盐；机制为ABA依赖（Plant Physiol Biochem 2020/Plant Physiol数据）,Yes,Yes
OS04G0529800,,S1b,S2b,糖/多元醇转运家族；盐下表达线索,S3b,碳同化与渗透调节（候选）,S4b,跨物种仅家族层面报道；本基因缺因果迁移性,S5b,未检得稻本体KO/OE/互补直接改变耐盐；仅数据库与综述/表达,No,No
OS04G0530900,,S1b,S2b,GT8家族；果胶/木聚糖糖基转移,S3b,细胞壁代谢（候选）,S4b,家族/表达提示候选，缺一一正交因果,S5b,暂无稻本体因果论文；多为GWAS/表达推断,No,No
OS04G0534600,,S1b,S2b,过氧化体分裂/离子与ROS稳态（家族层面）,S3b,过氧化体-ROS网络（本基因缺直接）,S4b,OsPEX11-1为正调控已证；但OsPEX11-4本基因缺直接因果,S5b,未见针对OsPEX11-4的稻本体盐耐因果；家族旁证不记入,Yes,Yes
OS04G0540900,,S1b,S2a,RLCK 磷酸化激活 CatC；调控H2O2稳态,S3a,H2O2/ROS→催化酶通路（核心节点）,S4b,RLCK模块保守，但以本基因为准,S5a,OE提高耐盐；直接磷酸化OsCATC，遗传与生化证据充分,No,No
OS04G0541700,,S1b,S2a,ABA依赖负调控；下调→耐盐↑，OE→耐盐↓,S3a,ABA-ROS/气孔与应答转录网络,S4b,HD-Zip模块保守；以本基因稻证据为准,S5a,T-DNA下调增强耐盐，过表达降低耐盐；Zhang 2012 等,Yes,Yes
OS04G0556300,,S1b,S2a,线粒体GPX；调控ROS清除/抗氧化,S3a,ROS清除核心通路,S4a,GPX抗氧化作用跨物种保守，稻内有功能数据,S5a,Knockdown线在NaCl下光合受损更重；指出其正向参与盐适应；Mol Plant亦给出功能机制,Yes,Yes
OS04G0560600,,S1b,S2a,Ca2+-依赖蛋白激酶；正向调控耐盐,S3a,Ca2+信号→转录/离子/ROS调控网络,S4a,CDPK盐耐作用保守；本基因稻体证据充分,S5a,OE增强耐盐；遗传和生化证据（Plant J/Plant Biotech J/PMID 21883553）,No,Yes
OS04G0566100,,S1b,S2b,Snf2/染色质重塑；仅表达或家族分析,S3b,表观调控（缺核心节点直接证据）,S4b,缺高置信正交同源+因果迁移性,S5a,未检得KO/OE直接改变稻耐盐的论文,Yes,Yes
OS04G0584600,,S1b,S2a,CDPK；最新研究为盐耐正调控,S3a,Ca2+信号-盐应答通路,S4a,CDPK模块保守；且本基因新证据指向正调控,S5a,Plant Physiology 2024：OsCPK13为盐耐正调控；突变更敏感/存活率降低,No,No
OS04G0531400,,S1b,S2a,Lectin RLK；负调控盐耐,S3a,受体激酶-盐信号通路（负调控）,S4b,LecRLK模块保守；以稻本基因为准,S5a,经典盐敏基因SIT2：突变抑制盐敏，或OE/突变改变盐性状（原始克隆/功能研究）,Yes,Yes
OS04G0603200,,S1b,S2b,RING E3-微管相关; UPS调控候选,S3b,UPS/微管-胁迫连接（缺核心节点直接证据）,S4b,异源系统与家族旁证较多，缺一一正交因果迁移性,S5a,近年稻本体研究指出OsRMT1通过泛素化降解靶蛋白（如OsMBL1）负调控耐盐；早期仅见拟南芥OE耐盐↑,Yes,Yes
OS04G0631600,,S1b,S2b,bHLH转录因子；有盐诱导/补偿线索,S3b,上游转录网络（缺稻本体盐通路核心证据）,S4b,与AtbHLH112互补/类比，但缺一一正交并有稻体因果迁移性,S5b,未见直接操纵OsbHLH068在稻本体改变耐盐的KO/OE/互补；多为推断或异源互补,No,No
OS04G0659100,,S1b,S2b,叶绿体谷氨酰胺合成酶；N代谢与盐胁迫表达变化,S3b,氮代谢-盐适应（缺核心节点证据）,S4b,跨物种功能保守但无盐耐因果迁移性,S5a,稻体研究以表达与代谢分析为主；未见KO/OE直接改变耐盐,Yes,Yes
OS04G0661200,,S1b,S2a,肌醇多磷酸信号(IP3/InsP6)调控ROS/胁迫,S3a,Inositol phosphate signaling → ROS/ABA互作,S4b,相关机制保守，但以本基因稻证据为准,S5a,osipk1_1突变体对盐/旱更耐；IP3降低、ROS下降，遗传与生理证据齐备,Yes,Yes
OS04G0687300,,S1b,S2a,ABA介导抗氧化; 分子伴侣调控SOD/CAT,S3a,ABA–ROS稳态通路,S4b,Hsp40作用保守，但稻内以本基因为准,S5a,OsDjC46 与ZFP36互作；OE提高、敲减降低耐盐/抗氧化能力（稻本体）,Yes,Yes
OS05G0105900,,S1b,S2b,剪接因子；与FKBP20-1b互作参与胁迫响应,S3b,AS通路（缺耐盐核心节点直接证据）,S4b,正交同源在拟南芥有盐相关，但稻本体未证,S5b,未见直接操纵OsSR45a改变稻耐盐的KO/OE报道,No,No
OS05G0113500,,S1b,S2a,ABA合成与ROS清除调控；正向耐盐,S3a,ABA–ROS通路,S4b,功能模块保守；以稻本体证据为准,S5a,OE提高、RNAi降低稻耐盐；ABA含量与抗氧化酶活性相应改变,Yes,Yes
OS05G0148600,,S1b,S2b,NHX家族成员；表达受盐诱导,S3b,Na+隔离通路（本基因缺直接因果）,S4b,NHX家族跨物种保守，但OsNHX3稻体因果未证,S5b,未检得针对OsNHX3的稻本体KO/OE直接改变耐盐；多为OsNHX1的经典证据,No,No
OS05G0150300,,S1b,S2b,染色质重塑；数据库标注盐/旱响应,S3b,表观调控（缺直接通路/遗传证据）,S4b,Snf2家族有成员与盐相关，但本基因未证,S5b,未见稻本体KO/OE改变耐盐的直接论文,No,No
OS05G0144300,,S1b,S2b,染色质重塑；表达线索,S3b,表观调控（缺核心节点直接证据）,S4b,家族旁证不足以替代本基因因果,S5b,未见稻本体KO/OE直接改变耐盐的研究,No,No
OS05G0177500,,S1b,S2b,UGT家族；盐下表达线索,S3b,次生代谢/糖苷化（缺稻核心盐节点）,S4b,同源/家族有盐耐作用，但本基因无一一正交因果,S5a,OsUGT5稻本体KO/OE直接改变耐盐（有OsUGT2/UGT85E1旁证）,Yes,No
OS05G0289400,,S1b,S2b,剪接相关；GWAS提示负调控候选,S3b,剪接受体网络（无稻通路核心证据）,S4b,Arabidopsis验证与表达相关，但非稻一一正交因果,S5b,IJMS 2022在拟南芥作功能验证；未见稻本体KO/OE→盐表型,No,No
OS05G0348100,,S1b,S2a,增强环式电子传递，缓解PSI受损,S3a,光合电子传递/NDH通路（盐下核心节点）,S4a,玉米Ndhl同源在稻中亦提升盐耐（高置信）,S5a,2024研究：表达(包括OsNdhl)提高稻耐盐，改善电子传递与氧化伤害,Yes,Yes
OS05G0392400,,S1b,S2b,RdDM/表观调控候选,S3b,小RNA/Pol IV相关（与盐缺直接因果）,S4b,无跨物种一一正交且具盐因果,S5b,未见稻本体KO/OE直接改变耐盐,No,No
OS05G0445100,,S1b,S2b,JA-Ile氧化家族；家族成员CYP94C2b已证,S3b,JA信号代谢（本基因缺直接）,S4b,同源/家族旁证，不足以外推到本基因,S5b,未见OsCYP94C4稻本体因果；CYP94C2b在稻中已证增强耐盐,No,No
OS05G0457200,,S1b,S2a,ABA负调控；敲除耐盐↑，OE耐盐↓,S3a,ABA信号核心模块（PP2C）,S4b,PP2C模块保守；以本基因为准,S5a,2024 Rice/PMC：KO增强、OE降低盐耐；并调控ABA响应,Yes,Yes
OS05G0491000,,S1b,S2b,Ca2+结合蛋白；盐下表达变化,S3b,Ca2+信号候选（缺稻核心节点直接证据）,S4b,同源旁证不足以达成S4a,S5b,未见OsCML9稻本体KO/OE直接改变耐盐,No,No
OS05G0516600,,S1b,S2b,囊泡运输；液泡定位,S3b,囊泡-离子稳态候选,S4a,AtRab7/他种Rab7 OE增强耐盐；跨物种保守,S5a,2014 ScientificWorldJournal：OsRab7 OE增强稻盐耐；后续综述/条目复述,Yes,Yes
OS05G0533500,,S1b,S2b,半胱氨酸/谷胱甘肽代谢；表达受盐诱导,S3b,硫代谢-抗氧化候选（缺直接因果）,S4b,跨物种资料为旁证；稻内未见一一正交因果,S5b,未检得OsSAT1稻本体KO/OE直接改变耐盐的研究,No,No
OS05G0534400,,S1b,S2a,Ca2+感受器；与OsCIPK24激活OsSOS1,S3a,SOS通路核心节点（离子外排）,S4a,AtSOS3正交已证；SOS模块跨物种保守,S5b,2007 Plant Phys 等证实机制与互补，但缺稻本体表型操纵,No,Yes
OS05G0555100,,S1b,S2a,PP2A-B'κ 限制SIT1活性→盐耐↑（去磷酸化）,S3a,RLK–MAPK–PP2A 盐信号轴,S4a,PP2A调控逆境保守；稻本体已证正调控,S5a,Zhao 2019：B'κ-PP2A正调盐耐；与SIT1互作/互调（稻本体）,Yes,Yes
OS05G0567700,,S1b,S2b,ERD/MST家族表达受盐诱导,S3b,糖转运-渗透调节候选（缺直接）,S4b,同源/家族层面有线索，缺一一正交因果,S5b,无稻本体KO/OE导致耐盐改变；多为表达/家族分析,No,No
OS06G0127000,,S1b,S2b,PEX11-家族参与过氧化体分裂/Na+K+稳态（家族证据）,S3b,过氧化体-ROS网络（本基因缺直接）,S4b,OsPEX11（其他拷贝）有稻体因果；OsPEX11-5未见,S5b,未检得针对OsPEX11-5的稻本体盐耐因果论文；家族旁证不计入,No,No
OS06G0141100,,S1b,S2b,STP19 盐诱导表达,S3b,糖同化/渗透调节候选,S4b,STP家族异源证据多，缺本基因因果,S5b,未见稻本体KO/OE直接改变耐盐；仅表达/系统发育,No,No
OS06G0141200,,S1b,S2b,盐抑制型转录因子；负调线索,S3b,ABA/应激转录网络候选,S4b,他种或稻愈伤组织/拟南芥旁证；缺稻整株因果,S5b,2004转基因分析提示负调，但在稻整株未给出KO/OE盐性状,No,No
OS06G0147800,,S1b,S2a,MKK1→MPK4 介导盐信号；osmkk1盐敏,S3a,MAPK核心通路（MKK1–MPK4）,S4a,MAPK通路跨物种保守，且稻体已证,S5a,Plant Sci 2014：osmkk1更敏感；MKK1活性盐诱导，正调盐耐,Yes,Yes
OS06G0166500,,S1b,S2a,ABA依赖途径；OE耐盐↑，RNAi耐盐↓,S3a,Aux/IAA–ABA–盐胁迫通路,S4a,Aux/IAA逆境作用保守，稻体有因果,S5a,Plant Physiol. Biochem./Plant Sci 2021：OE↑/RNAi↓耐盐（稻本体）,Yes,Yes
OS06G0171900,,S1b,S2b,WD40家族盐响应,S3b,DDB1–CUL4/WD40等表观/降解网络候选,S4b,缺高置信同源+功能迁移性,S5b,尚无稻本体KO/OE→盐表型直接报道,No,No
OS06G0183800,,S1b,S2b,表观调控；发育/根系研究为主,S3b,表观-盐应答候选（缺直接）,S4b,同源在拟南芥有发育/逆境线索；盐因果未证,S5b,未见稻本体KO/OE直接改变耐盐,No,No
OS06G0210500,,S1b,S2a,调控ATP供给/离子与渗透稳态；突变盐敏,S3a,能量代谢→离子/渗透调节通路,S4a,AtMPTs参与盐响应；保守性强，且稻体有因果,S5a,Crop Journal 2020：CRISPR突变盐下生长受抑、Na+/K+失衡；盐诱导表达,Yes,Yes
OS06G0241100,,S1b,S2a,受体激酶；ABA敏感性↑；调控抗氧化,S3a,RLK→ROS/ABA信号轴（盐应答）,S4a,RLK盐应答保守；本基因稻本体证据,S5a,OsSRK1过表达提高耐盐；与ABA/抗氧化通路相关（稻本体）,Yes,Yes
OS06G0255700,,S1b,S2b,Snf2家族；盐/旱上调表达,S3b,表观调控候选（缺核心节点直接证据）,S4b,家族其他成员有胁迫功能；本基因无因果,S5b,未见针对OsCHR737的KO/OE直接改变稻耐盐的研究（表达/比较分析为主）,No,No
OS06G0472000,,S1b,S2b,蛋白修复/抗氧化；有异源与家族旁证,S3b,ROS修复途径（非盐核心节点直接证据）,S4b,MSR途径跨物种保守，但本基因稻体因果不足,S5b,Planta 2009显示OsMSRA4.1在稻中增强盐耐；OsMSRB1.1在稻本体盐表型证据不足,No,No
OS06G0526600,,S1b,S2b,RNA代谢；同家族成员在异源系统促盐耐,S3b,转录后/翻译调控候选,S4b,缺一一正交并具稻体因果迁移性,S5b,未见OsRH31在稻本体KO/OE→耐盐的直接论文,No,No
